File Number,Project Type,Status,Filing Date,Project Name,APN,Street Address,City,State,ZIP,Latitude,Longitude,Address,Housing Type,Residential Units,Non-Residential Area,Hotel Rooms,Residential Care Units,Approval Date,Description,Plans,geometry,Planning Area,General Plan Designation,City Council District,Development Inspector,Utility Inspector,Water Service Provider,Transportation Area Zone,Special District Landscaping,Soil Type,School District Elementary,School District Secondary,Property Based Improvement District,Owl Overwintering Habitat,Natural Asbestos,HistoricArea,PovertyRate,Flood_Hazard_Area,Census Tract Languages,AirportNoise,Walk Score,Walk Score Description,Seismic Hazards,Road Noise,SNI Area,Name of Growth Area,Planning Project Manager,Public Works Engineer,Public Works File Number,Public Works Senior Engineer,Applicant Entity,Applicant Name,Representative Entity,Representative Name
SP18-048,Commercial,Approved,3/27/18,Hotel Baywood,277-34-038,375 S Baywood Ave,San Jose,CA,95128,37.321668,-121.946101,375 South Baywood Avenue,,,123120,105,,2/27/18,"Special Use Permit to allow the demolition of residential structures and the removal of one ordinance-size tree for the construction of hotel with approximately 105 guest rooms,an alternative parking arrangement (valet parking) on an approximately 0.30-gross acre site. ",http://csjpbce.sanjoseca.gov/ecmsviewer/462/681/18681462.pdf,POINT (6141178.641850122 1942842.857076432),West Valley,Urban Village,1,Jose Uribe,Amarali Soto,San Jose Water Company,2999,,Silt Loam,Campbell Union Elementary School District,Campbell Union High School District,,,,,0.11,D,"English: 59%, Other: 18%, Spanish: 13%, Chinese: 5%, Vietnamese: 5%",,84,Very Walkable,No,65-69 FWY,No,Valley Fair/Santana Row,CVANDERZ,Joe Provenzano,3-24301,Vivian Tom,,Henry Cord,,Henry Cord
PDA15-066-01,Residential,Pending,6/5/18,Santana Row Lot 12,277-40-017,358 Hatton St,San Jose,CA,95128,37.320244,-121.945882,385 Hatton Street,MF,300,,,,,"Planned Development Permit Amendment to amend the previously approved but not constructed Planned Development Permit (File No. PD15-066) to add an additional story to Building B from five and a half to six and a half stories, for 42 additional residential units for a total of 300 units on a 2.94-gross acre site. ",,POINT (6141234.306001127 1942323.451906214),West Valley,Urban Village,1,Jose Uribe,Amarali Soto,San Jose Water Company,2997,,Silt Loam,Campbell Union Elementary School District,Campbell Union High School District,,,,,0.11,D,"English: 59%, Other: 18%, Spanish: 13%, Chinese: 5%, Vietnamese: 5%",,47,Car-Dependent,No,"75-79 FWY, 65-69 FWY",No,Valley Fair/Santana Row,MFLORES1,Joe Provenzano,3-22087,Vivian Tom,Federal Realty Investment Trust FRIT,,,Stuart MacDonald
PD20-006,Mixed-use,Pending,8/18/20,El Paseo & 1777 Saratoga Ave Mixed Use Village,244-06-002,1312 El Paseo De Saratoga,San Jose,CA,95130,37.289484,-121.991817,1312 El Paseo De Saratoga,,741,482072,,,,"Planned Development Permit to allow the demolition of 126,345 square feet of existing buildings and the removal of 121 ordinance-sized trees for the construction of 994 residential units, 165,949 square feet of commercial space, off-sale of alcohol (Type 21 ABC License), backup generator, and hours of construction beyond 7:00 a.m. to 7:00 p.m., Monday through Friday on an approximately 10.6-gross acre site.",,POINT (6127699.953083136 1931334.704580492),West Valley,Regional Commercial,1,Jose Uribe,Amarali Soto,San Jose Water Company,601,,Clay Loam,Moreland Elementary School District,Campbell Union High School District,,,,,0.02,D,"English: 61%, Other: 19%, Chinese: 12%, Spanish: 6%, Vietnamese: 2%",,88,Very Walkable,No,,No,Paseo de Saratoga,AATIENZA,Tiffany Pong,3-24196,Michelle Kimball,"El Paseo, LLC",,,Eric Shoennauer
SP20-002,Residential,Approved,1/8/20,S. Winchester Mixed Use,299-25-038,1087 S Winchester Blvd,San Jose,CA,95128,37.307212,-121.950693,1073 S. Winchester Boulevard,MF,61,,,,8/25/21,"Special Use Permit to allow demolition of two buildings totaling  9,762 square feet  and allow the construction of a 6-story mixed-use building consisting of 61 residential condo units and approximately 17,970 square feet of commercial space, and allow the removal of 9 ordinance size trees and 7 non-ordinance size trees on a .82-gross acre site, in the Winchester Boulevard Urban Village.",,POINT (6139761.92854841 1937600.678213586),West Valley,Mixed Use Commercial,1,Jose Uribe,Amarali Soto,San Jose Water Company,3008,,Clay Loam,Moreland Elementary School District,Campbell Union High School District,,,,,0.05,D,"English: 62%, Other: 15%, Spanish: 13%, Chinese: 9%, Vietnamese: 1%",,82,Very Walkable,No,"60-64, 65-69 FWY",Winchester,Winchester Bl,MBLANCO,Tiffany Pong,3-03614,Samuel Yung,Yisrael 26 LLC,,,Henry Cord
SP21-006,Residential,Pending,3/18/21,S. Winchester Mixed Use,299-25-037,1065 S Winchester Blvd,San Jose,CA,95128,37.307612,-121.9507,1065 South Winchester Blvd,MF,61,,,,,"Special Use Permit to allow the demolition of the existing residence, barn, and accessory buildings, the removal of 30 ordinance-size and 19 non-ordinance trees, and construction of a 6-story, mixed-use building consisting of 70 residential condominium units and 20,410 square feet of commercial space with one podium parking level and one basement parking level and associated landscaping and amenities.",,POINT (6139762.15045647 1937746.333529495),West Valley,Mixed Use Commercial,1,Jose Uribe,Amarali Soto,San Jose Water Company,3008,,Clay Loam,Moreland Elementary School District,Campbell Union High School District,,,,,0.05,D,"English: 62%, Other: 15%, Spanish: 13%, Chinese: 9%, Vietnamese: 1%",,81,Very Walkable,No,,Winchester,,LMEINERS,Tiffany Pong,3-25843,Michelle Kimball,"A&Z Development, LLC",Adam Askari,Cord Associates,Henry Cord 
H17-023,Commercial,Approved,5/18/17,AC Hotel Stevens Creek Blvd,375-12-017,5696 Stevens Creek Blvd,San Jose,CA,95129,37.322631,-122.00311,5696 Stevens Creek Boulevard,,,62868,168,,1/16/19,"Site Development Permit to allow the demolition of an existing gas station and convenience store, and the construction of a 168-room hotel with a parking reduction of 46 percent on a 0.42-gross acre site.",,POINT (6124608.958268718 1943454.639658684),West Valley,Urban Village Commercial,1,Jose Uribe,Amarali Soto,San Jose Water Company,2983,,Clay Loam,Cupertino Union Elementary School District,Fremont Union High School District,,,,,0.09,D,"Other: 39%, English: 27%, Chinese: 26%, Spanish: 5%, Vietnamese: 3%",,59,Somewhat Walkable,No,"65-69, 75-79 FWY",No,Stevens Creek Bl (West),RRIVERA,Joe Provenzano,3-00828,Vivian Tom,ASSET GAS SC INC ETAL,,,
PD17-014,Mixed-use,Approved,4/25/17,Stevens Creek Promenade,296-38-013,4360 Stevens Creek Blvd,San Jose, CA,95129,37.322478,-121.97945,4360 Stevens Creek Boulevard,,499,233000,,,2/26/19,"Planned Development Permit to allow the demolition of five existing buildings totaling approximately 105,980 square feet, the removal of 68 ordinance sized trees and to construct a 6-story approximately 233,000 square foot office building, a 6-story parking garage, a 8-story mixed use building containing approximately 10,000 square feet of ground floor commercial and up to 289 residential units, and a 8-story residential building containing approximately 205 market rate residential units and approximately 88 affordable residential units (total of up to 293 residential units) on a 10.0 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/952/709/18709952.pdf,POINT (6131487.093187179 1943289.312277873),West Valley,Urban Village,1,Jose Uribe,Amarali Soto,San Jose Water Company,2988,,Silt Loam,Cupertino Union Elementary School District,Fremont Union High School District,,,,,0.1,D,"Other: 53%, English: 22%, Chinese: 15%, Spanish: 7%, Vietnamese: 3%",,77,Very Walkable,No,"65-69 FWY, 65-69",No,Stevens Creek Bl (Mid),TTAM,Tiffany Pong,3-02236,Samuel Yung,Fortbay,Perry Hariri,,
PD17-027,Residential,Approved,12/14/17,Saratoga Ave Mixed Use,299-37-024,700 Saratoga Ave,San Jose,CA,95129,37.313857,-121.974997,700 Saratoga Avenue,MF,300,,,,6/11/19,"Planned Development Permit (File NO. PDC17-027) to allow the demolition of existing parking garages, sports courts, pool, and amenity building, removal of up to 133 ordinance size tree, and allow the construction of a mixed-used development including up to 302 residential units and 17,800 square feet of retail/commercial space and extended construction hours on an approximately 20.08-gross acre site. ",http://csjpbce.sanjoseca.gov/ecmsviewer/579/243/19243579.pdf,POINT (6132732.3135239 1940130.329559047),West Valley,Mixed Use Neighborhood,1,Jose Uribe,Amarali Soto,San Jose Water Company,893,,Clay Loam,Moreland Elementary School District,Campbell Union High School District,,,,,0.13,D,"English: 30%, Other: 28%, Spanish: 24%, Chinese: 16%, Vietnamese: 2%",,84,Very Walkable,No,"65-69 FWY, 75-79 FWY, 60-64",No,Saratoga Av,CVANDERZ,Alex Wong,3-01262,Michelle Kimball,"AvalonBay Communities, Inc.",,,Joe Kirchofer
CP20-020,Mixed-use,Pending,8/25/20,West San Carlos,274-16-070,17 Boston Ave,San Jose,CA,95128,37.324079,-121.928116,17 Boston Avenue,,61,107013,,157,,"Conditional Use Permit to to allow a 7-story, 209,522-square foot mixed-use development consisting of a 246-bed Residential Care Facility for the Elderly (RCFE), 61 multi-family residential units, and 6,000 square-foot ground floor retail with alternative parking (stackers) on the ground floor and in basement on a 1.23-gross acre site.",,POINT (6146421.192530505 1943640.301927068),Central,Mixed Use Commercial,6,Pedro Colin,Amarali Soto,San Jose Water Company,3028,,Silt Loam,Luther Burbank Elementary School District,Campbell Union High School District,,,,,0.07,D,"English: 48%, Spanish: 32%, Other: 9%, Chinese: 6%, Vietnamese: 5%",,71,Very Walkable,No,,Burbank/Del Monte,W. San Carlos St (West),AWANG,Jason Yan,3-25776,Elizabeth Koki,Oak Glen Ventures LLC,Lori Greymont,Salvatore Caruso Design Corporation,Salvatore Caruso 
CP17-046,Commercial,Under Construction,10/26/17,Holden Assisted Living,282-11-014,1015 S Bascom Ave,San Jose,CA,95128,37.307467,-121.932347,1015 S. Bascom Avenue,,,156022,,,9/12/18,"Conditional Use Permit to allow the construction of a 6-story, 165-unit residential care facility with 5,079 square feet of ground floor commercial space and the removal of three trees on a 1.43 gross acre site",http://csjpbce.sanjoseca.gov/ecmsviewer/859/700/18700859.pdf,POINT (6145098.493536578 1937611.328255757),Willow Glen,Urban Village,6,Jose Uribe,Amarali Soto,San Jose Water Company,3035,,Silt Loam,Campbell Union Elementary School District,Campbell Union High School District,,,,,0.07,D,"English: 74%, Other: 11%, Spanish: 7%, Chinese: 4%, Vietnamese: 4%",,66,Somewhat Walkable,No,"65-69 FWY, 70-74",No,S. Bascom Av (North),RRIVERA,Alex Wong,3-00597,Michelle Kimball,"US Alliance Holden of San Jose, LLC",,,
SP17-037,Residential,Under Construction,9/1/17,Page Street Housing,277-20-044,329 Page St,San Jose,CA,95126,37.32269,-121.915943,329 Page Street,MF,82,,,,12/5/18,Special Use Permit to allow the demolition of three single-family residences and the construction of a six-story multifamily building with 82 affordable housing studio apartments (Single Room Occupancy living facility) ; alternative parking arrangements with a combination of parking lifts and typical garage spaces; and the removal of 23 trees on a 0.7-gross acre site.,http://csjpbce.sanjoseca.gov/viewer/ViewerNextGen.asp?DocID=18475400,POINT (6149952.746328251 1943080.837718112),Central,Urban Village,6,Jose Uribe,Amarali Soto,San Jose Water Company,3027,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.14,D,"Spanish: 54%, English: 35%, Other: 7%, Chinese: 3%, Vietnamese: 1%",,88,Very Walkable,No,65-69 FWY,Burbank/Del Monte,W. San Carlos St (East),RRIVERA,Joe Provenzano,3-24151,Vivian Tom,Charities Housing,Kathy Robinson,,
SP18-012,Commercial,Approved,2/27/18,West San Carlos Hotel,277-20-035,1470 W San Carlos St,San Jose,CA,95126,37.323219,-121.916722,1470 W. San Carlos Street,,,64262,,,4/24/21,"Special Use Permit to allow the demolition of existing buildings, and the construction of a six-story, 105-room hotel with an automated stacker parking system on 0.39-gross acre site. ",http://csjpbce.sanjoseca.gov/ecmsviewer/831/204/45204831.pdf,POINT (6149729.169393932 1943276.854361881),Central,Urban Village,6,Jose Uribe,Amarali Soto,San Jose Water Company,3027,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.14,D,"Spanish: 54%, English: 35%, Other: 7%, Chinese: 3%, Vietnamese: 1%",,86,Very Walkable,No,"60-64, 65-69 FWY",Burbank/Del Monte,W. San Carlos St (East),MFLORES1,Joe Provenzano,3-24241,Joe Provenzano,Rescom Development & Investment Inc.,Dylan Nguyen,Rescom Development & Investment Inc.,Dylan Nguyen 
SP20-004,Residential,Approved,4/29/19,W. San Carlos Mixed Use,277-18-019,1530 W San Carlos St,San Jose,CA,95126,37.322887,-121.91836,1530 West San Carlos,MF,173,,,,8/24/21,"Special Use Permit to allow the demolition of three existing commercial buildings, eight unoccupied residential buildings, and associated service structures totaling approximately 14,131 square feet, the removal of 15 trees (11 ordinance-size, four non-ordinance-size) for the construction of two seven-story residential mixed use buildings, including 173 residential units and 17,836 square feet of commercial retail space with a 42 percent parking reduction on an approximately 1.34-gross acre site.",,POINT (6149251.095767133 1943163.200155181),Central,Urban Village,6,Jose Uribe,Amarali Soto,San Jose Water Company,3026,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.14,D,"Spanish: 54%, English: 35%, Other: 7%, Chinese: 3%, Vietnamese: 1%",,86,Very Walkable,No,"60-64, 65-69 FWY",Burbank/Del Monte,W. San Carlos St (Mid),AATIENZA,Joe Provenzano,3-24531,Joe Provenzano,,Viji Mani,Studio Current,Jeff Current 
SP21-007,Residential,Pending,3/19/21,1520 W. San Carlos Mixed Use,277-18-021,1520 W San Carlos St,San Jose,CA,95126,37.323115,-121.917922,1520 West San Carlos St,MF,202,,,,,"Special Use Permit to allow the demolition of all existing buildings on site, the construction of a 7-story mixed use building consisting of 202 residential units (30 affordable) and approximately 15,145 square feet of commercial space with a 27% parking reduction on an approximately 1.62-gross acre site. 25 units would be affordable.",,POINT (6149379.700715555 1943244.276288337),Central,Urban Village,6,Jose Uribe,Amarali Soto,San Jose Water Company,3026,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.14,D,"Spanish: 54%, English: 35%, Other: 7%, Chinese: 3%, Vietnamese: 1%",,86,Very Walkable,No,,Burbank/Del Monte,,AATIENZA,Joe Provenzano,3-25832,Joe Provenzano,,Viji Mani,,
PD18-015,Mixed-use,Approved,6/19/18,South Bascom Gateway Station,282-26-007,1330 S Bascom Ave,San Jose,CA,95128,37.300794,-121.931054,1330 S. Bascom Avenue,,590,213500,,,9/10/19,"Planned Development Permit to allow the demolition of approximately 76,894 square feet of existing commercial buildings, and the construction of an approximately 200,000-square foot office building, 590 residential units, an alternative parking arrangement (tandem parking), and the removal of 17 on-site ordinance size trees, one on-site non-ordinance size tree, and three ordinance size street trees in the CP(PD) Planned Development Zoning District on a 6.98-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/039/038/19038039.pdf,POINT (6145437.354583039 1935176.199498268),Willow Glen,Urban Village Commercial,6,Jose Uribe,Amarali Soto,San Jose Water Company,3037,,Silt Loam,Campbell Union Elementary School District,Campbell Union High School District,,,,,0.13,D,"English: 44%, Spanish: 41%, Other: 10%, Vietnamese: 3%, Chinese: 2%",,74,Very Walkable,No,"65-69 FWY, 70-74",No,S. Bascom Av (North),JPIOZET,Joe Provenzano,3-00329,Joe Provenzano,,Pete Beritzhoff,,
H19-054,Residential,Under Construction,12/18/19,Moorpark Supportive Housing,282-44-027,1710 Moorpark Ave,San Jose,CA,95128,37.315857,-121.923145,1710 Moorpark Avenue,MF,108,,,,9/11/20,"SB35 Streamlined Ministerial Permit to demolish an existing structure and a portion of a structure, and construct a 5-story permanent supportive housing development (residential service facility) with108 units and approximately 2,000-sf of private community gathering space, and the removal of 10 rdinance-size trees and 13 non-ordinance size trees, on a 1.01-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/435/207/45207435.pdf,POINT (6147820.948694168 1940624.972253957),Willow Glen,Public/Quasi-Public,6,Jose Uribe,Amarali Soto,San Jose Water Company,789,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.13,D,"English: 44%, Spanish: 41%, Other: 10%, Vietnamese: 3%, Chinese: 2%",,60,Somewhat Walkable,No,"70-74, 75-79 FWY",Burbank/Del Monte,,RCUETOG,Tiffany Pong,3-00487,Samuel Yung,MidPen Housing Corporation,,,Helen Tong-Ishikawa
SP18-059,Residential,Approved,5/10/18,McEvoy Affordable Housing,261-38-004,277 Dupont St,San Jose,CA,95126,37.324594,-121.903717,699 W. San Carlos,MF,365,,,,2/11/20,"Special  Use Permit to allow the demolition of two industrial buildings, removal of three (3) ordinance-sized trees, for the construction a 100% affordable housing (excluding the manager’s units) project with up to 365 multi-family residential units with an alternative parking arrangement, back-up generator, and up to 12.5-foot tall retaining wall on an approximately 1.13-gross acre site. A State Density Bonus to allow a 29%  increase in density and waivers to increase the building height; reduce the required setbacks along McEvoy Street, Dupont Street, and the West San Carlos Street bridge, and reduce the amount of required motorcycle parking.",http://csjpbce.sanjoseca.gov/ecmsviewer/599/065/19065599.pdf,POINT (6153517.832055623 1943720.458221407),Central,Transit Residential,6,Pedro Colin,Amarali Soto,San Jose Water Company,885,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,81,Very Walkable,Liquefaction,"70-74, 60-64, 65-69 FWY",Burbank/Del Monte,"Diridon Plan, Midtown",RBUSS,Tiffany Pong,3-09763,Samuel Yung,First Community Housing,Regina Williams,,
PD20-011,Residential,Pending,12/18/20,244 McEvoy,244-23-014,244 Mcevoy St,San Jose,CA,95126,37.325204,-121.904118,244 McEvoy St,MF,695,,,,,"Planned Development Permit to allow the demolition of nine buildings totaling approximately 64,800 square feet, the removal of 56 trees (26 ordinance-size, 30 non-ordinance-size) and the construction of two five-story multifamily apartment buildings consisting of 689 units (375 affordable units) and approximately 4,005 square feet of commercial space with a State Density Bonus concession for a 38% parking reduction on an approximately 5.4-gross acre site. ",,POINT (6153404.577110294 1943944.285400763),Central,Transit Residential,6,Pedro Colin,Amarali Soto,San Jose Water Company,885,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,81,Very Walkable,Liquefaction,,Burbank/Del Monte,,AATIENZA,Tiffany Pong,3-24185,Michelle Kimball,HMH,Deena Morsilli ,,
PD16-031,Residential,Approved,9/27/16,750 West San Carlos,264-15-003,750 W San Carlos St,San Jose,CA,95126,37.323368,-121.904456,750 W. San Carlos Street,MF,56,,,,12/12/17,"Planned Development Permit to demolish an approximately 8,170 square foot structure, remove six non-ordinance sized trees, and construct a 7-story, 56 residential unit building with two-stories of parking on a 0.41 gross acre site ",http://csjpbce.sanjoseca.gov/ecmsviewer/310/791/17791310.pdf,POINT (6153296.275542188 1943277.341578612),Central,Transit Residential,6,Jose Uribe,Amarali Soto,San Jose Water Company,887,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,73,Very Walkable,Liquefaction,"60-64, 65-69 FWY",Burbank/Del Monte,"Diridon Plan, Midtown",TTAM,Michelle Kimball,3-24001,Jeff Lee,Bay Area Property Developers,,,Nancy Malone
PD12-013,Residential,Approved,3/29/12,Ohlone Mixed Use (Block A),264-14-131,860 W San Carlos St,San Jose,CA,95126,37.322162,-121.907014,southwest corner of West San Carlos Street and Sunol Street,MF,263,,,,12/16/15,"Planned Development Permit to allow for the construction of 263 attached residential units and 12,000 square foot of commercial space, 145 feet in height in the A(PD) Planned Development Zoning District on 2.66 gross acre site
",http://csjpbce.sanjoseca.gov/ecmsviewer/371/428/15428371.pdf,POINT (6152545.94627344 1942849.454888715),Central,Transit Residential,6,Jose Uribe,Amarali Soto,San Jose Water Company,887,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,84,Very Walkable,Liquefaction,"60-64, 65-69 FWY",Burbank/Del Monte,,LXAVIER,Hayde Pacheco,3-18215,Vivian Tom,Green Republic LLLP,,,
PD16-013,Residential,Approved,4/7/16,777 West San Carlos St,261-39-045,266 Sunol St,San Jose,CA,95126,37.324199,-121.905491,270 Sunol Street,MF,149,,,,6/21/16,"Planned Development Permit to allow demolition of 17,301 square feet of five (5) buildings and the construction of 149 residential units and approximately 2,990 square feet of commercial space in a seven-story building with two (2) floors of above grade parking garage on a 1.30 gross acre site.  COMBINED NOTICE W/ PDC16-018.",http://csjpbce.sanjoseca.gov/ecmsviewer/422/895/15895422.pdf,POINT (6152999.897549257 1943584.395371625),Central,Urban Residential,6,Pedro Colin,Amarali Soto,San Jose Water Company,885,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,89,Very Walkable,Liquefaction,"60-64, 65-69 FWY",Burbank/Del Monte,"Diridon Plan, Midtown",PKELLY,Michelle Kimball,3-18353,Jeff Lee,Bay Area Property Developers,Nancy Malone,,
PD18-043,Residential,Under Construction,10/17/18,Race Street Housing,261-42-058,253 Race St,San Jose,CA,95126,37.324816,-121.911826,253 Race Street,MF,206,,,,8/19/20,"Planned Development Permit to allow the demolition of 13 structures and the construction of 206 affordable housing units within two buildings (a 116-unit M-F apartment building, and a 90-unit Senior Housing building), 2,000 square feet of commercial retail and the removal of 5 ordinance size trees and 30 non-ordinance size trees to be built in phases on 2.3 gross acre site.",,POINT (6151161.433374577 1943836.747573099),Central,Urban Residential,6,Pedro Colin,Amarali Soto,San Jose Water Company,884,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,94,Walker's Paradise,Liquefaction,No,Burbank/Del Monte,,RCUETOG,Jason Yan,3-18583,Samuel Yung,Santa Clara County Housing Authority,,,Allyson Ujimori
PDA12-013-02,Residential,Pending,3/29/21,Auzerais Mixed Use,264-14-110,860 W San Carlos St,San Jose,CA,95126,37.322162,-121.907014,0 Auzerais Ave,MF,263,,,,,"Planned Development Permit Amendment to allow the remove of 48 trees (34 ordinance-size, 14 non ordinance-size) decrease the height of a previously approved mixed-use residential tower from 14 stories to 12 stories, increase the podium apartment from four stories to six stories, and allow an alternative parking arrangement (puzzle lift) on an approximately 2.17-gross acre site. The project includes two development options:

Option A: Up to 263 units (38 studio units, 165 one-bedroom units and 60 two-bedroom units) and up to 13,000 SF of retail space. Total building square footage is approximately 480,000 square feet  

Option B: Option B 251 units (147 one-bedroom units, 93 two-bedroom units, 5 three-bedroom units, and 6 townhouses) and up to 13,000 SF of retail space.  The total building square footage is approximately 439,000 square feet.",,POINT (6152545.94627344 1942849.454888715),Central,Transit Residential,6,Jose Uribe,Amarali Soto,San Jose Water Company,887,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,84,Very Walkable,Liquefaction,,Burbank/Del Monte,,AATIENZA,Joe Provenzano,3-18215,Joe Provenzano,Swenson,,,Mike Black
H19-028,Residential,Under Construction,6/20/19,750 W San Carlos,264-15-003,750 W San Carlos St,San Jose,CA,95126,37.323368,-121.904456,750 W. San Carlos,MF,80,,,,1/13/21,"AB 2162 Streamlined Ministerial Permit to demolish an existing building and construct a 7- story,80-unit multi-family development,  with a State Density Bonus Request for one Incentive (reduction of side setback) and one Waiver (reduction of rear setback), and the removal of 10 ordinance-size trees and 4 non-ordinance size trees, on a  0.41 gross acre site.",,POINT (6153296.275542188 1943277.341578612),Central,Transit Residential,6,Jose Uribe,Amarali Soto,San Jose Water Company,887,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,73,Very Walkable,,,Burbank/Del Monte,"Diridon Plan, Midtown",RCUETOG,Alex Wong,3-24001,Michelle Kimball,San Jose W San Carlos LP,,Danco Communities,Chris Dart 
H20-030,Residential,Approved,9/1/20,777 West San Carlos Residential,244-17-048,270 Sunol St,San Jose,CA,95126,37.324296,-121.905415,270 Sunol St,MF,154,,,,,"SB 35 Ministerial Permit to allow the demolition of 13,575 square feet of buildings and construction of a 100% affordable apartment building consisting of 6 stories and 154 residential units, including a 2,500 square foot day care center, parking structure, and the removal of 2 ordinance-sized trees, on a 1.2-acre site using streamlined processing (SB 35).",,POINT (6153022.52435254 1943619.37754879),Central,Urban Residential,6,Pedro Colin,Amarali Soto,San Jose Water Company,885,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,89,Very Walkable,Liquefaction,,Burbank/Del Monte,"Diridon Plan, Midtown",JOESORDI,Alex Wong,3-18353,Michelle Kimball,Danco Communities,Chris Dart ,SGPA Architecture & Planning,Glenn Wood 
PDA15-036-01,Residential,Completed,7/9/15,Ohlone Block B,264-14-024,355 Sunol St,San Jose,CA,95126,37.322212,-121.906187,345 Sunol Street,MF,269,,,,12/16/15,Planned Development Amendment to amend a previously approved Planned Development Permit (File No. PD15-036) to increase the number of residential units from 253 to 269 (16 additional units) in “Block B” as originally allocated in the Planned Development Zoning District and to allow alterations to the floor plans and elevations of a multi-family residential project located on a 1.7-gross acre site.,http://csjpbce.sanjoseca.gov/ecmsviewer/695/800/16800695.pdf,POINT (6152786.670412995 1942864.043712653),Central,Transit Residential,6,Jose Uribe,Amarali Soto,San Jose Water Company,887,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.03,D,"English: 59%, Other: 19%, Spanish: 15%, Chinese: 6%, Vietnamese: 1%",,84,Very Walkable,Liquefaction,"60-64, 65-69 FWY",Burbank/Del Monte,,JTU,Joe Provenzano,3-18215,Vivian Tom,GR Block B LLC,Scott Connelly,,
PD19-011,Residential,Approved,4/10/19,Meridian Mixed Use,274-14-152,259 Meridian Ave,San Jose,CA,95126,37.324492,-121.91448,259 Meridian Avenue,MF,241,,,,6/23/20,"Planned Development Permit to allow the removal of nine non-ordinance sized trees, the demolition of three existing buildings totaling approximately 19,000 square feet and the construction of a five to seven-story mixed-use building with up to 241 residential units and approximately 1,400 square feet of ground-floor commercial on an approximately 1.3 gross acre site.",,POINT (6150388.02698846 1943730.444104282),Central,Urban Village,6,Pedro Colin,Amarali Soto,San Jose Water Company,3031,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.13,D,"English: 61%, Other: 16%, Spanish: 16%, Vietnamese: 4%, Chinese: 3%",,90,Walker's Paradise,Liquefaction,"65-69, 65-69 FWY",Burbank/Del Monte,W. San Carlos St (East),JPIOZET,Tiffany Pong,3-24095,Samuel Yung,Strangis Properties,,,Jerry Strangis
HA06-027-02,Commercial,Under Construction,6/10/13,Valley Fair Expansion,274-43-035,2855 Stevens Creek Blvd,San Jose,CA,95128,37.325345,-121.945097,2855 Stevens Creek Boulevard,,,525000,,,10/30/13,"Site Development Permit Amendment to extend the validity of a Site Development Permit (File No. H06-027) that allowed the construction of approximately 2,140,000 square feet of commercial uses and parking structures for an additional three years, allow the demolition of portions of two existing parking structures, the construction of a six-story parking structure, the removal of 104 existing trees, and the installation of solar panels at an existing shopping center (Westfield Valley Fair) on a 71 acre site.",,POINT (6141491.227782219 1944176.996007844),West Valley,Regional Commercial,6,Pedro Colin,Amarali Soto,San Jose Water Company,3002,,Silt Loam,Campbell Union Elementary School District,Campbell Union High School District,,,,,0.04,D,"English: 68%, Spanish: 13%, Other: 12%, Vietnamese: 4%, Chinese: 3%",,72,Very Walkable,Liquefaction,"75-79 FWY, 65-69, 65-69 FWY, 60-64",No,Valley Fair/Santana Row,RBUSTOS,Hayde Pacheco,3-05161,,"Westfield Shopping, Valley Fair",,,
